
                     mean       std    median      5.0%     95.0%     n_eff     r_hat
det_rate_rw[34]      0.12      0.05      0.11      0.04      0.18      8.14      1.14
det_rate_rw[35]      0.13      0.05      0.13      0.04      0.21      8.41      1.14
det_rate_rw[36]      0.13      0.06      0.13      0.04      0.21      9.28      1.09
det_rate_rw[37]      0.14      0.06      0.13      0.04      0.22     10.00      1.08
det_rate_rw[38]      0.14      0.07      0.14      0.05      0.24     10.04      1.07
det_rate_rw[39]      0.14      0.07      0.13      0.04      0.24      9.93      1.10
det_rate_rw[40]      0.15      0.07      0.14      0.05      0.27     10.91      1.06
det_rate_rw[41]      0.15      0.07      0.15      0.05      0.25     12.49      1.04
det_rate_rw[42]      0.15      0.08      0.14      0.05      0.26     13.42      1.05

Number of divergences: 0
